R_fighter,B_fighter,Referee,date,location,Winner,title_bout,weight_class,B_avg_KD,B_avg_opp_KD,B_avg_SIG_STR_pct,B_avg_opp_SIG_STR_pct,B_avg_TD_pct,B_avg_opp_TD_pct,B_avg_SUB_ATT,B_avg_opp_SUB_ATT,B_avg_REV,B_avg_opp_REV,B_avg_SIG_STR_att,B_avg_SIG_STR_landed,B_avg_opp_SIG_STR_att,B_avg_opp_SIG_STR_landed,B_avg_TOTAL_STR_att,B_avg_TOTAL_STR_landed,B_avg_opp_TOTAL_STR_att,B_avg_opp_TOTAL_STR_landed,B_avg_TD_att,B_avg_TD_landed,B_avg_opp_TD_att,B_avg_opp_TD_landed,B_avg_HEAD_att,B_avg_HEAD_landed,B_avg_opp_HEAD_att,B_avg_opp_HEAD_landed,B_avg_BODY_att,B_avg_BODY_landed,B_avg_opp_BODY_att,B_avg_opp_BODY_landed,B_avg_LEG_att,B_avg_LEG_landed,B_avg_opp_LEG_att,B_avg_opp_LEG_landed,B_avg_DISTANCE_att,B_avg_DISTANCE_landed,B_avg_opp_DISTANCE_att,B_avg_opp_DISTANCE_landed,B_avg_CLINCH_att,B_avg_CLINCH_landed,B_avg_opp_CLINCH_att,B_avg_opp_CLINCH_landed,B_avg_GROUND_att,B_avg_GROUND_landed,B_avg_opp_GROUND_att,B_avg_opp_GROUND_landed,B_avg_CTRL_time(seconds),B_avg_opp_CTRL_time(seconds),B_total_time_fought(seconds),B_total_rounds_fought,B_total_title_bouts,B_current_win_streak,B_current_lose_streak,B_longest_win_streak,B_wins,B_losses,B_draw,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_avg_KD,R_avg_opp_KD,R_avg_SIG_STR_pct,R_avg_opp_SIG_STR_pct,R_avg_TD_pct,R_avg_opp_TD_pct,R_avg_SUB_ATT,R_avg_opp_SUB_ATT,R_avg_REV,R_avg_opp_REV,R_avg_SIG_STR_att,R_avg_SIG_STR_landed,R_avg_opp_SIG_STR_att,R_avg_opp_SIG_STR_landed,R_avg_TOTAL_STR_att,R_avg_TOTAL_STR_landed,R_avg_opp_TOTAL_STR_att,R_avg_opp_TOTAL_STR_landed,R_avg_TD_att,R_avg_TD_landed,R_avg_opp_TD_att,R_avg_opp_TD_landed,R_avg_HEAD_att,R_avg_HEAD_landed,R_avg_opp_HEAD_att,R_avg_opp_HEAD_landed,R_avg_BODY_att,R_avg_BODY_landed,R_avg_opp_BODY_att,R_avg_opp_BODY_landed,R_avg_LEG_att,R_avg_LEG_landed,R_avg_opp_LEG_att,R_avg_opp_LEG_landed,R_avg_DISTANCE_att,R_avg_DISTANCE_landed,R_avg_opp_DISTANCE_att,R_avg_opp_DISTANCE_landed,R_avg_CLINCH_att,R_avg_CLINCH_landed,R_avg_opp_CLINCH_att,R_avg_opp_CLINCH_landed,R_avg_GROUND_att,R_avg_GROUND_landed,R_avg_opp_GROUND_att,R_avg_opp_GROUND_landed,R_avg_CTRL_time(seconds),R_avg_opp_CTRL_time(seconds),R_total_time_fought(seconds),R_total_rounds_fought,R_total_title_bouts,R_current_win_streak,R_current_lose_streak,R_longest_win_streak,R_wins,R_losses,R_draw,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age
Derek Brunson,Kevin Holland,Herb Dean,20/03/2021,"Las Vegas, Nevada, USA",1,FALSE,Middleweight,0.15625,0,0.791582031,0.850585938,0.269199219,0.393398438,0.029296875,0.080078125,0.0234375,0.041015625,39.2109375,26.078125,24.49414063,11.953125,61.64453125,47.79101563,31.27929688,17.46484375,0.935546875,0.529296875,2.759765625,1.451171875,31.01953125,19.921875,15.76367188,5.615234375,4.162109375,2.685546875,4.70703125,2.8203125,4.029296875,3.470703125,4.0234375,3.517578125,25.35546875,14.09375,17.171875,7.177734375,3.630859375,2.984375,1.857421875,1.353515625,10.22460938,9,5.46484375,3.421875,69.5,82.31640625,267.5175781,23,0,0,1,5,8,2,0,0,2,1,3,2,0,Orthodox,190.5,205.74,185,0.024551392,0.220703125,0.515636139,0.445974121,0.35582428,0,9.16E-05,0,0,0,133.4735107,72.17990112,95.71842957,41.51147461,150.5239868,88.71699524,102.1464386,47.68928528,8.111679077,3.008209229,2.156860352,0,98.62075806,46.65184021,66.27102661,20.73251343,22.16374207,15.4604187,21.70651245,16.69836426,12.68901062,10.06764221,7.740890503,4.080596924,102.852951,50.01177979,84.98669434,32.96481323,11.84820557,7.164001465,10.28755188,8.202209473,18.77235413,15.00411987,0.44418335,0.344451904,157.8121185,3.515289307,683.1185608,31,0,2,0,5,12,5,0,0,0,4,7,1,0,Southpaw,185.42,195.58,185,28,37
Manel Kape,Matheus Nicolau,,13/03/2021,"Las Vegas, Nevada, USA",0,FALSE,Flyweight,1,0.625,0.47375,0.24125,0.28125,0,0.875,0,0,0,71.25,36.125,85.25,23.5,84.25,47,89.5,27.5,1.625,1.125,0.5,0,45.625,18.25,67.5,12.375,20.375,13,12,6.875,5.25,4.875,5.75,4.25,63.125,30.75,79.625,20.75,0.125,0.125,0.25,0.125,8,5.25,5.375,2.625,119.75,2.25,552.875,10,0,3,0,3,3,1,0,0,1,1,0,1,0,Orthodox,167.64,167.64,125,0,0,0.53,0.49,0.28,0,0,0,0,0,91,49,149,74,94,51,152,77,7,2,1,0,76,36,83,27,8,8,38,26,7,5,28,21,91,49,146,72,0,0,1,1,0,0,2,1,25,24,900,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Southpaw,165.1,172.72,125,28,27
Angela Hill,Ashley Yoder,Mike Beltran,13/03/2021,"Las Vegas, Nevada, USA",1,FALSE,WomenStrawweight,0.015625,0,0.496640625,0.61671875,0.3271875,0.0909375,1.59375,0.1484375,0.1796875,0.640625,75.90625,33.734375,70.1328125,42.640625,175.0234375,121.1953125,108.4453125,79.1875,3.4375,1.375,1.421875,0.34375,58.8046875,22.0625,47.8359375,23.3359375,9.8828125,6.7421875,10.8125,8.8125,7.21875,4.9296875,11.484375,10.4921875,57.8828125,19.734375,48.6484375,24.6796875,4.0859375,2.8671875,14.953125,12.7734375,13.9375,11.1328125,6.53125,5.1875,406.9375,182.7734375,900,24,0,0,3,2,3,5,0,0,1,2,0,0,0,Southpaw,170.18,175.26,115,0.250152588,0,0.483366089,0.393623962,0.101591797,0.232617188,0.140625,0.003967285,3.05E-05,0,210.6167908,103.708313,250.7501526,99.1088562,225.5984192,115.5010376,275.5276184,120.8168335,0.636993408,0.206298828,10.21600342,0.897644043,160.2437439,67.7644043,186.6530762,54.47134399,47.4022522,33.17245483,41.20941162,26.98202515,2.970794678,2.771453857,22.88766479,17.65548706,184.6769104,84.08758545,232.9165955,86.38580322,21.58129883,16.8878479,13.12445068,9.14050293,4.358581543,2.732879639,4.709106445,3.582550049,113.0008545,179.2185669,1170.845886,45,0,1,0,3,7,9,0,0,0,5,1,0,1,Orthodox,160.02,162.56,115,33,36
Jonathan Martinez,Davey Grant,Chris Tognoni,13/03/2021,"Las Vegas, Nevada, USA",0,FALSE,Bantamweight,0.5,0.625,0.464375,0.398125,0.48375,0.048125,0.5,0.34375,0.28125,1.0625,115.03125,50.0625,108.6875,41.9375,125.78125,59.34375,120,52.40625,4.625,2.65625,1.3125,0.3125,87.46875,28.625,85.65625,27.8125,18.875,13.96875,19.125,11.71875,8.6875,7.46875,3.90625,2.40625,104.625,44.4375,99,37.625,4.375,2.46875,2.125,1.5,6.03125,3.15625,7.5625,2.8125,178.9375,86.875,701.4375,15,1,0,1,2,3,3,0,0,1,1,1,0,0,Orthodox,172.72,175.26,135,0.8125,0.0625,0.4340625,0.4221875,0.28125,0.109375,0,0.0625,0.03125,0.0625,166.75,70.1875,140.28125,56.4375,171.625,74.46875,145.28125,61.125,0.75,0.3125,3.78125,0.4375,128.375,45.59375,100.75,25.40625,31.875,19.3125,25.84375,17.90625,6.5,5.28125,13.6875,13.125,155.15625,60.125,130.78125,48.0625,3.875,3.5625,9.125,8.09375,7.71875,6.5,0.375,0.28125,45.875,34.53125,835.125,18,0,0,1,2,4,2,0,0,0,2,2,0,0,Southpaw,172.72,177.8,135,35,26
Dan Ige,Gavin Tucker,Mike Beltran,13/03/2021,"Las Vegas, Nevada, USA",1,FALSE,Featherweight,0,0.3125,0.529375,0.4075,0.5,0.160625,1.3125,0.3125,0.375,0.25,158.8125,84.25,146.5,64.625,171.1875,96.0625,180.3125,95.875,8.9375,4.4375,2.4375,0.5,122.0625,54.3125,110.125,37.9375,29.4375,23.1875,32.125,23.25,7.3125,6.75,4.25,3.4375,132.3125,64.0625,110.25,39.375,23.3125,17.5625,22.625,17.75,3.1875,2.625,13.625,7.5,225.5,58.875,837.875,15,0,1,0,3,4,1,0,0,0,2,0,2,0,Southpaw,167.64,167.64,145,0.09375,0.25,0.44078125,0.420546875,0.186796875,0.6,0.03125,0.140625,0.015625,0.078125,172.109375,73.21875,183.46875,78.25,185.4375,84.4140625,190.5859375,84.8515625,6.25,0.53125,1.84375,0.9375,125.8671875,39.875,142.3515625,49.359375,32.4765625,22.125,27.640625,16.9765625,13.765625,11.21875,13.4765625,11.9140625,161.203125,64.7109375,159.6171875,65.1484375,5.734375,4.21875,5.046875,3.3125,5.171875,4.2890625,18.8046875,9.7890625,63.453125,123.65625,1167.640625,22,0,0,1,6,6,2,0,0,2,2,1,1,0,Orthodox,170.18,180.34,145,34,29
Cortney Casey,JJ Aldrich,Mark Smith,13/03/2021,"Las Vegas, Nevada, USA",0,FALSE,WomenFlyweight,0,0,0.4046875,0.37546875,0.13125,0.2728125,0,0,0,0,137.59375,56.828125,230.15625,85.75,147.46875,65.984375,238.609375,93.109375,0.71875,0.28125,0.6875,0.375,121.53125,45.15625,182.15625,48.984375,10.671875,8.359375,25.859375,19.484375,5.390625,3.3125,22.140625,17.28125,126.484375,49.359375,209.578125,69.03125,10.625,7.15625,20.0625,16.34375,0.484375,0.3125,0.515625,0.375,60.90625,76.53125,847.625,20,0,0,1,3,4,3,0,0,0,4,0,0,0,Southpaw,165.1,170.18,125,0,0.000488281,0.420766602,0.507919922,0.010976563,0.606225586,0.595703125,0.50390625,0.017578125,0.001953125,82.76904297,32.12548828,72.68261719,33.32568359,137.0878906,82.57617188,89.31982422,48.5703125,0.412109375,0.064453125,3.536132813,1.979980469,68.71728516,21.55859375,54.56591797,19.24609375,4.975097656,3.4296875,8.690429688,6.1796875,9.076660156,7.137207031,9.426269531,7.899902344,78.35253906,28.35791016,60.72460938,24.0546875,2.936035156,2.444824219,2.823730469,2.322753906,1.48046875,1.322753906,9.134277344,6.948242188,10.54736328,402.8955078,715.0507813,30,0,0,2,2,5,7,0,0,1,1,1,2,0,Orthodox,170.18,170.18,125,28,33
Dominick Cruz,Casey Kenney,Jason Herzog,06/03/2021,"Las Vegas, Nevada, USA",1,FALSE,Bantamweight,0,0,0.4859375,0.381875,0.216875,0.0765625,0.15625,0,0.125,0.0625,206.90625,97.90625,222.875,87.375,209.03125,99.875,229.53125,92.40625,3.40625,1.125,3.5625,1.0625,154.34375,55.4375,166.25,45.03125,33.375,24.90625,21.53125,10.375,19.1875,17.5625,35.09375,31.96875,201.375,93.84375,218.40625,83.9375,4.5,3.09375,2.90625,2.15625,1.03125,0.96875,1.5625,1.28125,68.34375,45.09375,810.375,16,0,2,0,3,5,1,0,0,0,4,0,1,0,Southpaw,170.18,172.72,140,0.125,1,0.37609375,0.45875,0.1190625,0.195625,0.015625,0,0.140625,0,171.4375,59.53125,141.359375,56.390625,177.34375,64.859375,148.5625,63.265625,5.875,0.90625,4.921875,0.96875,142.0625,37.8125,109.53125,31.984375,13.46875,8.65625,13.5,8.4375,15.90625,13.0625,18.328125,15.96875,165.671875,55.6875,130.453125,49.328125,3.71875,2.578125,4.71875,2.125,2.046875,1.265625,6.1875,4.9375,42.78125,26.09375,1004.03125,28,6,5,0,5,5,2,0,0,1,3,1,0,0,Orthodox,172.72,172.72,135,29,35
Joseph Benavidez,Askar Askarov,Jason Herzog,06/03/2021,"Las Vegas, Nevada, USA",0,FALSE,Flyweight,0,0.25,0.5625,0.4625,0.155,0.5675,0,0,0.75,0.25,84.75,46.25,79.25,36.25,98.75,59.25,104.75,59,12,2,4,1.5,73.25,35.75,54,19.25,3,2.5,18.5,12,8.5,8,6.75,5,68.5,33.5,66.25,28.25,6.25,5.5,6.25,4,10,7.25,6.75,4,276.5,195,900,9,0,0,1,2,2,1,0,0,0,2,0,0,0,Orthodox,167.64,170.18,125,0.187625885,1.25793457,0.544965229,0.662261791,0.055061131,0.347898254,0.000263214,2.25,0.125244141,0.0625,63.24921036,31.08330917,49.60549355,31.09520149,70.81346893,37.59082222,55.46112442,36.60242271,1.540719986,0.504957199,1.303302765,0.61894989,40.61771774,16.48520279,41.81930161,24.81761551,11.64745522,7.451547623,7.492101669,6.074134827,10.9840374,7.146558762,0.294090271,0.203451157,56.86946487,27.09872437,33.81219101,16.09536743,4.970647812,3.051511765,2.459129333,2.292181015,1.409097672,0.933073044,13.3341732,12.70765305,50.75162125,93.56212425,413.0396843,48,3,3,0,6,15,5,0,0,1,8,5,1,0,Southpaw,162.56,165.1,125,28,36
Tim Elliott,Jordan Espinosa,Mark Smith,06/03/2021,"Las Vegas, Nevada, USA",1,FALSE,Flyweight,0,0,0.418125,0.369375,0.185625,0.125,0,0.1875,0,0,135.8125,60,109.4375,45.25,153.0625,75.5,113.9375,49,1.5,0.5625,1.375,0.125,102,32.6875,70.75,19.75,15.125,11.625,14.5625,7.0625,18.6875,15.6875,24.125,18.4375,115.625,44.1875,99.8125,40.5,14.6875,11.3125,9.625,4.75,5.5,4.5,0,0,38.1875,70.875,755.5625,11,0,1,0,1,2,3,0,0,0,2,0,0,0,Orthodox,167.64,175.26,125,0.00012207,0,0.450472412,0.472388916,0.233674316,0.521589355,1.079589844,1.606445313,0.8359375,0.288208008,110.8659668,46.34509277,90.25073242,41.75585938,137.4373779,71.16821289,100.1522217,51.13269043,10.76257324,2.086303711,2.285766602,0.805419922,65.39367676,20.25024414,73.38952637,29.81860352,24.88635254,11.27172852,12.78405762,8.126708984,20.5859375,14.82312012,4.077148438,3.810546875,89.59533691,30.79467773,78.3470459,34.39379883,14.74060059,9.789550781,9.181396484,5.439453125,6.530029297,5.760864258,2.722290039,1.922607422,172.251709,80.51672363,727.8164063,36,1,0,1,2,5,9,0,0,0,4,0,1,0,Southpaw,170.18,167.64,125,31,34
Livinha Souza,Amanda Lemos,Jason Herzog,06/03/2021,"Las Vegas, Nevada, USA",0,FALSE,WomenStrawweight,0.5,0,0.645,0.555,1,0,0.25,0,0,0,94,60.5,97,54.75,106.5,72,144.5,98.75,1.5,1.5,0.5,0,67.25,37.75,71,33.75,21,17,18,14,5.75,5.75,8,7,66,38.5,65.25,29.5,20.25,16.75,31.25,25,7.75,5.25,0.5,0.25,114.5,230,624,6,0,0,1,2,2,1,0,0,0,1,0,1,0,Southpaw,162.56,165.1,115,0,0,0.5225,0.33375,0.465,0.1875,0.5,0,0,0,61.875,32.875,116.125,38.5,82.75,53.125,158,76.75,4.125,1.625,1.5,0.75,35.125,12.125,93.875,26.875,11.125,7.375,14.25,7.625,15.625,13.375,8,4,48.375,24.375,104.625,32,6.75,4.875,9.5,4.875,6.75,3.625,2,1.625,124.875,219.75,797.625,10,0,2,0,2,3,1,0,0,1,1,0,1,0,Orthodox,160.02,160.02,115,33,29
